Model Name,accuracy,precision,recall,f1,roc_auc
DecisionTreeClassifier,0.821615339918652,0.8921568627450981,0.9057730590577306,0.8989134013829437,0.5673725108372766
LogisticRegression,0.5816385822196397,0.889990089197225,0.5958858659588586,0.7138314785373608,0.5385971385869059
Perceptron,0.12434631028471818,0.0,0.0,0.0,0.5
RandomForestClassifier,0.8855316676350958,0.8880331753554502,0.9946914399469144,0.938341158059468,0.5557569349267282
LinearSVC,0.5944218477629285,0.8923375363724539,0.6104844061048441,0.7249802994483847,0.5458964086598987
