Model Name,accuracy,precision,recall,f1
DecisionTreeClassifier,0.6603965429588206,0.6756758798934283,0.6603965429588206,0.6677688841041224
LogisticRegression,0.7773258769700051,0.6042355190071875,0.7773258769700051,0.6799377951299416
Perceptron,0.7773258769700051,0.6042355190071875,0.7773258769700051,0.6799377951299416
RandomForestClassifier,0.7707168276563294,0.6602148388720982,0.7707168276563294,0.6874992902153302
LinearSVC,0.7773258769700051,0.6042355190071875,0.7773258769700051,0.6799377951299416
