Model Name,accuracy,precision,recall,f1,roc_auc
DecisionTreeClassifier,0.862289366647298,0.9290540540540541,0.9124087591240876,0.920656176765986,0.7108772767583056
LogisticRegression,0.9355026147588612,0.9874301675977654,0.93828798938288,0.9622320517182716,0.9270879199250848
Perceptron,0.8402091807088902,0.99438202247191,0.8221632382216324,0.9001089720305122,0.8947264789239004
RandomForestClassifier,0.9157466589192329,0.9229813664596274,0.9860650298606504,0.9534809111324992,0.7033128887621011
LinearSVC,0.9424753050552005,0.9737550471063257,0.960185799601858,0.9669228199131306,0.8889714044738263
