Model Name,accuracy,precision,recall,f1
DecisionTreeClassifier,0.7153024911032029,0.7362119061083752,0.7153024911032029,0.7250746726508954
LogisticRegression,0.8500254194204372,0.8497643990905617,0.8500254194204372,0.8498578759598041
Perceptron,0.8190137264870361,0.8228393886146771,0.8190137264870361,0.8192699353719716
RandomForestClassifier,0.7915607524148449,0.7263880163516591,0.7915607524148449,0.7394187784310404
LinearSVC,0.8337569903406202,0.8322177311231911,0.8337569903406202,0.8329765293402923
